country_name,country_code,year,government_expenditure_on_education_as_percent_of_gdp_percent,gross_enrolment_ratio_primary_female_percent,gross_enrolment_ratio_primary_gender_parity_index_gpi,out_of_school_children_of_primary_school_age_both_sexes_number,literacy_rate_population_25_64_years_adjusted_gender_parity_index_gpia,internet_users_per_100_people,gni_current_us,gdp_per_capita_current_us,na
China,CHN,1970-01-01,NA,NA,NA,NA,NA,NA,92602973434.0726,113.162991554686,NA
China,CHN,1971-01-01,1.38874,NA,NA,NA,NA,NA,99800958648.1436,118.654577785346,NA
China,CHN,1972-01-01,1.60476,NA,NA,NA,NA,NA,113687586299.051,131.883561243868,NA
China,CHN,1973-01-01,1.65082,NA,NA,NA,NA,NA,138544284708.957,157.090374298657,NA
China,CHN,1974-01-01,1.76115,99.70216,0.72504,NA,NA,NA,144182133387.722,160.140093727686,NA
China,CHN,1975-01-01,1.7085,108.96678,0.81674,NA,NA,NA,163431551779.761,178.341819608096,NA
China,CHN,1976-01-01,1.81657,112.53715,0.86461,NA,NA,NA,153940455341.506,165.40554037242,NA
China,CHN,1977-01-01,1.74954,108.30091,0.87092,NA,NA,NA,174938098826.569,185.422832913673,NA
China,CHN,1978-01-01,1.95884,102.53646,0.86635,NA,NA,NA,149540752829.268,156.396388520044,NA
China,CHN,1979-01-01,2.14805,100.32783,0.85181,NA,NA,NA,178280594413.043,183.983152215978,NA
China,CHN,1980-01-01,1.9119,100.7516,0.85178,NA,NA,NA,191149211575,194.804722186836,NA
China,CHN,1981-01-01,1.94881,101.62637,0.84516,NA,NA,NA,195783049099.206,197.071474499102,NA
China,CHN,1982-01-01,2.03448,100.12945,0.82881,NA,0.57491,NA,205361295278.626,203.334919503464,NA
China,CHN,1983-01-01,2.07692,99.63011,0.82138,NA,NA,NA,231563322095.785,225.431928890812,NA
China,CHN,1984-01-01,1.99863,100.62605,0.82546,NA,NA,NA,261221374528.571,250.713969046988,NA
China,CHN,1985-01-01,2.00814,105.4429,0.82843,NA,NA,NA,310328084153.061,294.45884850496,NA
China,CHN,1986-01-01,2.06155,112.17604,0.86127,NA,NA,NA,300735081440.58,281.928120911563,NA
China,CHN,1987-01-01,1.80425,117.41046,0.87372,7476623,NA,NA,272793546177.13,251.811956961329,NA
China,CHN,1988-01-01,1.76418,119.79486,0.88136,5430764,NA,NA,312230327072.016,283.537695240524,NA
China,CHN,1989-01-01,NA,120.76775,0.88975,3770791,NA,NA,347942587323.887,310.8819124049,NA
China,CHN,1990-01-01,NA,120.63996,0.89991,3030952,0.74875,0,361822783694.073,317.884673040928,NA
China,CHN,1991-01-01,NA,118.44505,0.91136,3125562,NA,NA,384152337595.819,333.142145400184,NA
China,CHN,1992-01-01,1.65456,116.66322,0.9223,4127781,NA,NA,427130409854.003,366.460692302073,NA
China,CHN,1993-01-01,1.65785,113.76862,0.9271,5428471,NA,1.6868e-4,443808937181.006,377.389839479958,NA
China,CHN,1994-01-01,1.98571,111.05683,0.9364,7449047,NA,0.001168115,563288670005.917,473.492278718042,NA
China,CHN,1995-01-01,1.84192,108.62555,0.94695,9980293,NA,0.00495471,722773475238.004,609.656679202484,NA
China,CHN,1996-01-01,1.85339,105.64649,0.95738,12155634,NA,0.013081692,851309717503.789,709.413755085039,NA
China,CHN,1997-01-01,NA,103.67685,0.96696,13744570,NA,0.032394861,950600282951.338,781.744164341053,NA
China,CHN,1998-01-01,1.84433,104.37068,0.97475,NA,NA,0.168540297,1012399391554.64,828.580479295681,NA
China,CHN,1999-01-01,1.88804,NA,NA,NA,NA,0.708187957,1079526985271.13,873.28706172579,NA
China,CHN,2000-01-01,NA,NA,NA,NA,0.93496,1.775913207,1196681328408.87,959.372483639691,NA
China,CHN,2001-01-01,NA,111.83423,0.99138,NA,NA,2.639650215,1320222692110.76,1053.10824300452,NA
China,CHN,2002-01-01,NA,NA,NA,NA,NA,4.595704331,1455604866961.46,1148.5082904417,NA
China,CHN,2003-01-01,NA,NA,NA,NA,NA,6.2,1650069477164.43,1288.64325183381,NA
China,CHN,2004-01-01,NA,NA,NA,NA,NA,7.3,1950215394499.08,1508.66809788266,NA
China,CHN,2005-01-01,NA,NA,NA,NA,NA,8.523257003,2269857202066.07,1753.41782925823,NA
China,CHN,2006-01-01,NA,100.56225,0.99198,NA,NA,10.52315262,2746989420528.26,2099.22943460447,NA
China,CHN,2007-01-01,NA,100.07257,0.98819,NA,NA,16,3558383174498.85,2693.96982683485,NA
China,CHN,2008-01-01,NA,99.90914,0.98455,NA,NA,22.6,4622871904097.17,3468.30446324747,NA
China,CHN,2009-01-01,NA,99.12141,0.98351,NA,NA,28.9,5093171238691.92,3832.23595156727,NA
China,CHN,2010-01-01,NA,98.04289,0.98268,NA,0.97066,34.3,6061091827540.88,4550.45359583857,NA
China,CHN,2011-01-01,NA,98.24032,0.98486,NA,NA,38.3,7481123578116.54,5618.13249134962,NA
China,CHN,2012-01-01,NA,99.19531,0.9889,NA,NA,42.30011749,8512412274448.3,6316.91886335683,NA
China,CHN,2013-01-01,NA,99.43689,0.99761,NA,NA,45.8,9492578843732.85,7050.64591988963,NA
China,CHN,2014-01-01,NA,95.83343,1.00072,NA,NA,47.9,10451827977992.6,7651.36604428568,NA
China,CHN,2015-01-01,NA,96.44554,1.00246,NA,NA,50.3,10973753512645.5,8033.38804310679,NA
China,CHN,2016-01-01,NA,98.22966,1.00509,NA,NA,53.2,11092994205734.1,8078.79047437238,NA
China,CHN,2017-01-01,NA,99.90993,1.00948,NA,NA,54.3,12133803337870.6,8759.04157775098,NA
China,CHN,2018-01-01,NA,100.83158,1.01135,NA,0.98536,NA,13556853165009.1,9770.84708783314,NA
China,CHN,2019-01-01,NA,102.56461,1.01172,NA,NA,NA,NA,NA,NA
China,CHN,2020-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Kingdom,GBR,1970-01-01,NA,NA,NA,NA,NA,NA,141387244300.456,2347.54431773747,NA
United Kingdom,GBR,1971-01-01,5.03205,103.98787,0.99929,101444,NA,NA,159603405694.816,2649.80151387223,NA
United Kingdom,GBR,1972-01-01,5.15938,103.23125,0.99749,152837,NA,NA,183049923076.923,3030.43251411977,NA
United Kingdom,GBR,1973-01-01,5.44861,102.50712,0.998,209010,NA,NA,207757100930.916,3426.27622050378,NA
United Kingdom,GBR,1974-01-01,5.391,102.65958,0.99949,236495,NA,NA,224454531089.294,3665.8627976419,NA
United Kingdom,GBR,1975-01-01,6.26878,102.98632,1.00204,238110,NA,NA,266156498230.089,4299.74561799284,NA
