Country Name,Country Code,Series,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,839.485886051471,888.153370005426,885.840818972452,979.273978611803,1031.64313483554,1176.12635743384,1218.11821480543,1454.66301483129,1637.37798708028,1626.76479325583,1806.7639297497,1874.76563448053,1897.52593759488,1886.69297689805,1896.99251956752,1934.63675411354,1955.00620775557,..,..
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18973027428.8955,21032245383.3138,21903906005.033,25122565906.1993,27269473533.6214,31873654690.1845,33769009351.4633,41304884284.1507,47787706703.5775,48993947132.3454,56301250158.1678,60497916496.011,63321947173.1356,64927903089.8577,67121529134.9001,70220349482.0068,72672245387.0863,..,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2549.47302184377,1909.114038437,1823.30767260917,2057.44965661892,2289.87313531323,2665.76490612222,2980.06628849579,2717.36212449434,3021.01473768125,3471.65259162591,3861.334172426,4301.35279874992,4661.37155341076,4994.51880731917,5422.7784619431,5865.30619612569,6559.78325677995,7276.30296869082,8228.37423890574,8814.81085605008,9628.02578340836,10207.7523472149,10526.2354457688,10571.0106501214,11259.2258938162,11662.0304810353,11868.1789681017,12930.1400345966,13364.1553966514,..,..
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8378950164.15646,6236674649.6256,5920351121.96121,6639980529.9607,7344850516.95006,8497882715.49792,9440948344.14219,8555019546.66517,9451335237.27792,10792597200.4896,11927765514.6466,13162883698.2089,14221891223.1718,15181419279.0283,16414419614.8156,17663293360.652,19630459705.7271,21610743514.1622,24251602591.5662,25805526262.4929,28046641295.61,29655511080.3671,30530303813.1432,30604048365.0811,32529074566.728,33594846192.8098,34134081398.3363,37154201393.3919,38306694289.2319,..,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6683.94251044679,6661.13959247123,6774.46596213675,6640.1668105834,6583.17260367457,6844.63963324371,7129.63842232678,7214.87270695396,7553.94658827198,7797.01507100731,8162.58757272877,8480.07045862817,8981.34926734444,9682.4760351135,10234.9309046785,11022.1474669711,11380.0944227252,11897.1038212039,12218.0473865624,12294.6124889925,12655.1374103049,13046.1285113709,13482.7211230765,13823.8282325269,14326.283007894,14711.2208543312,15036.3641495916,15207.1791488773,15481.7876195754,..,..
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,172170799530.13,175857275927.105,183102474500.536,183504429496.38,185736144043.066,196836674975.301,208658885571.376,214591807410.605,228074451068.835,238771158107.576,253384961640.726,266711054750.53,286101859878.327,312396926945.639,334602029429.488,365381146417.392,382837779235.086,406488013140.167,424340214308.123,434416374627.175,455299636698.063,478289909836.429,504036522917.607,527242633533.902,557631755672.686,584447749881.39,609745677321.205,629412948814.354,653771569286.319,..,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
